name,code
IsProcessorFeaturePresent,676
GetModuleHandleExW,677
CreateTimerQueue,678
WaitForSingleObjectEx,679
SignalObjectAndWait,680
SwitchToThread,681
GetThreadPriority,682
GetLogicalProcessorInformation,683
GetClassNameW,684
GetWindowThreadProcessId,685
SendMessageTimeoutW,686
FindWindowExW,687
CharLowerBuffW,688
RegisterWindowMessageW,689
CryptReleaseContext,690
GetTokenInformation,691
ConvertSidToStringSidW,692
CryptDuplicateKey,693
CryptDestroyHash,694
CryptHashData,695
CryptCreateHash,696
CryptDecrypt,697
CryptEncrypt,698
CryptImportKey,699
CryptExportKey,700
CryptDestroyKey,701
CryptDeriveKey,702
CryptGenKey,703
CryptAcquireContextW,704
DuplicateTokenEx,705
CreateProcessAsUserW,706
LookupAccountNameW,707
LookupAccountSidW,708
SetSecurityDescriptorDacl,709
InitializeSecurityDescriptor,710
IsValidSid,711
SHGetFolderPathW,712
CoInitializeSecurity,713
CoSetProxyBlanket,714
CLSIDFromString,715
PathRemoveArgsW,717
PathAppendW,718
PathCombineA,719
PathCombineW,720
PathFileExistsW,721
PathMakePrettyW,722
PathStripPathW,723
PathRemoveExtensionW,724
PathRemoveFileSpecW,725
PathUnquoteSpacesW,726
CryptStringToBinaryA,727
CryptBinaryToStringA,728
WinHttpReadData,729
WinHttpQueryHeaders,730
WinHttpReceiveResponse,731
WinHttpOpenRequest,732
WinHttpQueryDataAvailable,733
WinHttpOpen,734
WinHttpCloseHandle,735
WinHttpConnect,736
WinHttpSendRequest,737
GetFileVersionInfoW,738
GetFileVersionInfoSizeW,739
GetModuleBaseNameW,740
GetModuleFileNameExW,741
EnumProcessModules,742
DestroyEnvironmentBlock,743
CreateEnvironmentBlock,744
__p___initenv,745
calloc,746
atan2,747
GetTempFileNameA,748
VirtualProtectEx,749
VirtualQuery,750
GetStringTypeExA,751
PatBlt,752
GetAdaptersInfo,753
CoCreateGuid,754
UrlEscapeA,756
FlushInstructionCache,757
QueryDosDeviceW,758
GetLogicalDriveStringsW,759
TerminateThread,760
GetProcessId,761
GetFileAttributesExW,762
CopyFileW,763
OpenMutexW,764
GetEnvironmentVariableW,765
GetVolumeInformationW,766
SystemTimeToFileTime,767
ExpandEnvironmentStringsW,768
InterlockedCompareExchange,769
InvalidateRgn,770
CreateAcceleratorTableW,771
GetWindowTextLengthW,772
OpenClipboard,773
EmptyClipboard,774
SetWindowsHookExW,775
SetMenuItemInfoW,776
GetMenuItemInfoW,777
IsMenu,778
DestroyAcceleratorTable,779
GetClassInfoExW,780
TrackPopupMenuEx,781
CloseClipboard,782
DestroyIcon,783
GetMonitorInfoW,784
MonitorFromWindow,785
LoadMenuW,786
SetRectEmpty,787
SetClipboardData,788
CoGetClassObject,789
OleLockRunning,790
StringFromGUID2,791
CLSIDFromProgID,792
CreateStreamOnHGlobal,793
CoTaskMemFree,794
CoTaskMemRealloc,795
CoTaskMemAlloc,796
StringFromCLSID,797
RegEnumKeyExW,799
RegQueryInfoKeyW,800
RegDeleteKeyW,801
InitCommonControlsEx,802
CreateSolidBrush,803
CommandLineToArgvW,804
SHOpenFolderAndSelectItems,805
Shell_NotifyIconW,806
GetProcessImageFileNameW,807
RegCreateKeyA,808
getprotobyname,809
ioctlsocket,810
htons,811
gethostbyaddr,812
getsockopt,813
inet_ntoa,814
inet_addr,815
getsockname,816
bind,817
accept,818
gethostbyname,819
ntohs,820
listen,821
recv,822
CallMsgFilterA,823
ChangeDisplaySettingsA,824
CharNextA,825
CharUpperA,826
CharLowerBuffA,827
CharLowerA,828
CharPrevA,829
ActivateKeyboardLayout,830
ChangeMenuA,831
BroadcastSystemMessageA,832
abs,833
__p__environ,834
fclose,835
setvbuf,836
_filbuf,837
_iob,838
signal,839
_setmode,840
fread,841
abort,842
_assert,843
ungetc,844
_errno,845
atexit,846
strftime,847
_isctype,848
strtod,849
fflush,850
fprintf,851
atol,852
memchr,853
fsetpos,854
bsearch,855
atoi,856
__mb_cur_max,857
atof,858
asctime,859
strxfrm,860
memcpy,861
AddAtomA,862
BackupSeek,863
BackupWrite,864
BeginUpdateResourceA,865
CallNamedPipeA,866
FindAtomA,867
GetAtomNameA,868
GetConsoleCursorInfo,869
CompareFileTime,870
Beep,871
ClearCommError,872
ClearCommBreak,873
CopyFileA,874
GdipGetImageEncoders,875
GdipGetImageEncodersSize,876
GdipCreateHBITMAPFromBitmap,877
GdipCreateBitmapFromStreamICM,878
GdipCloneImage,879
GdiplusStartup,880
GdipDisposeImage,881
GdipLoadImageFromFileICM,882
GdipLoadImageFromFile,883
GdipAlloc,884
GdipFree,885
GdipCreateBitmapFromStream,886
GdiplusShutdown,887
GdipSaveImageToStream,888
UuidCreate,889
GetFileSizeEx,890
FreeResource,891
GetFileAttributesA,892
GetSystemInfo,893
GetFileInformationByHandle,894
PeekNamedPipe,895
GetFileAttributesExA,896
FindNextFileA,897
GetVolumeInformationA,898
UnlockFile,899
LockFile,900
GetThreadLocale,901
SuspendThread,902
ConvertDefaultLocale,903
EnumResourceLanguagesA,904
LoadLibraryExA,905
CreateProcessA,906
DeleteFileA,907
CreateDirectoryA,908
Process32First,909
Process32Next,910
GetSystemDirectoryA,911
GetTempPathA,912
RemoveDirectoryA,913
CopyAcceleratorTableA,914
GetNextDlgGroupItem,915
BeginDeferWindowPos,916
EndDeferWindowPos,917
TrackPopupMenu,918
SetMenu,919
GetClassInfoExA,920
EqualRect,921
DeferWindowPos,922
IntersectRect,923
SetWindowContextHelpId,924
ShowOwnedPopups,925
DrawTextExA,926
GetSystemMenu,927
CloseWindow,928
GetMenuItemInfoA,929
UnpackDDElParam,930
ReuseDDElParam,931
LoadMenuA,932
LoadAcceleratorsA,933
InsertMenuItemA,934
CreatePopupMenu,935
TranslateAcceleratorA,936
GetKeyboardState,937
keybd_event,938
GetPixel,939
SetWindowOrgEx,940
ExtSelectClipRgn,941
GetViewportExtEx,942
CreateRectRgnIndirect,943
GetTextColor,944
GetRgnBox,945
GetWindowExtEx,946
GetBkColor,947
SetStretchBltMode,948
GetCurrentObject,949
CreatePatternBrush,950
LPtoDP,951
